Limited Edition Alpha,"August 5, 1993",
Limited Edition Beta,"October 1, 1993",
Unlimited,"December 1, 1993",Fix name
Arabian Nights,"December 1, 1993",
Antiquities,"March 1, 1994",
Revised Edition,"April 1, 1994",
Legends,"June 1, 1994",
The Dark,"August 1, 1994",
Fallen Empires,"November 1, 1994",
Fourth Edition,"April 1, 1995",
Ice Age,"June 1, 1995",
Chronicles,"July 1, 1995",
Homelands,"October 1, 1995",
Portal,"June 1, 1997",
Portal Second Age,"June 1, 1998",
Anthologies,"November 1, 1998",
Portal Three Kingdoms,"May 1, 1999",
Starter 1999,"July 1, 1999",
Starter 2000,"July 1, 2000",
Beatdown,"December 1, 2000",Fix name
Duel Decks: Knights vs. Dragons,"April 1, 2011",
Duel Decks: Divine vs. Demonic,"April 10, 2009",
Seventh Edition,"April 11, 2001",
Rise of the Eldrazi,"April 23, 2010",
Classic Sixth Edition,"April 28, 1999",
Alara Reborn,"April 30, 2009",
Unglued,"August 17, 1998",
From the Vault: Legends,"August 26, 2011",
From the Vault: Relics,"August 27, 2010",
From the Vault: Exiled,"August 28, 2009",
From the Vault: Dragons,"August 29, 2008",
Morningtide,"February 1, 2008",
Nemesis,"February 14, 2000",
Urza's Legacy,"February 15, 1999",
Planar Chaos,"February 2, 2007",
Visions,"February 3, 1997",
Legions,"February 3, 2003",
Guildpact,"February 3, 2006",
Dark Ascension,"February 3, 2012",
Torment,"February 4, 2002",
Betrayers of Kamigawa,"February 4, 2005",
Mirrodin Besieged,"February 4, 2011",
Planeshift,"February 5, 2001",
Worldwake,"February 5, 2010",
Darksteel,"February 6, 2004",
Conflux,"February 6, 2009",
Masters Edition IV,"January 10, 2011",
Tenth Edition,"July 13, 2007",
Magic 2012,"July 15, 2011",
Magic 2011,"July 16, 2010",
Magic 2010,"July 17, 2009",
Coldsnap,"July 21, 2006",
Eventide,"July 25, 2008",
Eighth Edition,"July 28, 2003",
Ninth Edition,"July 29, 2005",
Planechase 2012 Edition,"June 1, 2012",
Alliances,"June 10, 1996",
Exodus,"June 15, 1998",
Commander,"June 17, 2011",Fix name
Archenemy,"June 18, 2010",
Saviors of Kamigawa,"June 3, 2005",
Apocalypse,"June 4, 2001",
Fifth Dawn,"June 4, 2004",
Prophecy,"June 5, 2000",
Urza's Destiny,"June 7, 1999",
Weatherlight,"June 9, 1997",
Duel Decks: Phyrexia vs. the Coalition,"March 19, 2010",
Stronghold,"March 2, 1998",
Fifth Edition,"March 24, 1997",
Duel Decks: Venser vs. Koth,"March 30, 2012",
New Phyrexia,"May 13, 2011",
Shadowmoor,"May 2, 2008",
Scourge,"May 26, 2003",
Judgment,"May 27, 2002",
Future Sight,"May 4, 2007",
Avacyn Restored,"May 4, 2012",
Dissension,"May 5, 2006",
Battle Royale,"November 12, 1999",Fix name
Duel Decks: Elves vs. Goblins,"November 16, 2007",
Premium Deck Series: Graveborn,"November 18, 2011",
Unhinged,"November 19, 2004",
Premium Deck Series: Fire and Lightning,"November 19, 2010",
Premium Deck Series: Slivers,"November 20, 2009",
Duel Decks: Jace vs. Chandra,"November 7, 2008",
Odyssey,"October 1, 2001",
Champions of Kamigawa,"October 1, 2004",
Scars of Mirrodin,"October 1, 2010",
Urza's Saga,"October 12, 1998",
Lorwyn,"October 12, 2007",
Tempest,"October 13, 1997",
Invasion,"October 2, 2000",
Zendikar,"October 2, 2009",
Mirrodin,"October 3, 2003",
Shards of Alara,"October 3, 2008",
Duel Decks: Garruk vs. Liliana,"October 30, 2009",
Mercadian Masques,"October 4, 1999",
Time Spiral,"October 6, 2006",
Mirage,"October 7, 1996",
Onslaught,"October 7, 2002",
Ravnica: City of Guilds,"October 7, 2005",
Masters Edition,"September 10, 2007",
Duel Decks: Ajani vs. Nicol Bolas,"September 2, 2011",
Masters Edition II,"September 22, 2008",
Duel Decks: Elspeth vs. Tezzeret,"September 3, 2010",
Innistrad,"September 30, 2011",
Planechase,"September 4, 2009",
Masters Edition III,"September 7, 2009",
"Time Spiral ""Timeshifted""","September 23, 2006",
Vanguard,,Remove!
Promo set for Gatherer,,Remove?
Magic 2013,"July 13, 2012",Not released
Duel Decks: Izzet vs. Golgari,"September 7, 2012",Not released
From the Vault: Realms,"August 31, 2012",Not released
Return to Ravnica,"October 5, 2012",Not released
